default|check_acc_status|duration|credit_history|purpose|credit_amount|savings|unemployment|ins_inc_ratio|personal_status_sex|other_debtors|residence since|property|age|other_ins_plans|housing|credits_number|job|liable_people|telephone|foreign_worker
1|less_0|42|existing_paid_duly|radio_tv|3965|less_100|less_1|4|male_sin|none|3|car_other|34|none|own|1|skilled_employee|1|no|yes
0|0_200|11|past_delays|radio_tv|4771|less_100|4_7|2|male_sin|none|4|life_insurance|51|none|own|1|skilled_employee|1|no|yes
0|no_account|54|no_credits|used_car|9436|unknown|1_4|2|male_sin|none|2|life_insurance|39|none|own|1|unskilled|2|no|yes
0|0_200|30|existing_paid_duly|furniture|3832|less_100|less_1|2|male_mar_wid|none|1|life_insurance|22|none|own|1|skilled_employee|1|no|yes
1|no_account|24|existing_paid_duly|radio_tv|5943|unknown|less_1|1|female_div_sep_mar|none|1|car_other|44|none|own|2|skilled_employee|1|yes|yes
0|no_account|15|existing_paid_duly|radio_tv|1213|500_1000|7_more|4|male_sin|none|3|life_insurance|47|stores|own|1|skilled_employee|1|yes|yes
0|no_account|18|existing_paid_duly|business|1568|100_500|1_4|3|female_div_sep_mar|none|4|life_insurance|24|none|rent|1|unskilled|1|no|yes
0|less_0|24|existing_paid_duly|others|1755|less_100|7_more|4|female_div_sep_mar|guarantor|4|real_estate|58|none|own|1|unskilled|1|yes|yes
0|less_0|10|existing_paid_duly|radio_tv|2315|less_100|7_more|3|male_sin|none|4|real_estate|52|none|own|1|unskilled|1|no|yes
0|no_account|12|critical_account|business|1412|less_100|1_4|4|female_div_sep_mar|guarantor|2|real_estate|29|none|own|2|management|1|yes|yes
0|0_200|18|critical_account|furniture|1295|less_100|less_1|4|female_div_sep_mar|none|1|life_insurance|27|none|own|2|skilled_employee|1|no|yes
1|0_200|36|existing_paid_duly|education|12612|100_500|1_4|1|male_sin|none|4|unknown|47|none|for_free|1|skilled_employee|2|yes|yes
0|less_0|18|existing_paid_duly|new_car|2249|100_500|4_7|4|male_sin|none|3|car_other|30|none|own|1|management|2|yes|yes
1|less_0|12|no_credits|repairs|1108|less_100|4_7|4|male_sin|none|3|real_estate|28|none|own|2|skilled_employee|1|no|yes
0|no_account|12|critical_account|radio_tv|618|less_100|7_more|4|male_sin|none|4|real_estate|56|none|own|1|skilled_employee|1|no|yes
0|less_0|12|critical_account|used_car|1409|less_100|7_more|4|male_sin|none|3|real_estate|54|none|own|1|skilled_employee|1|no|yes
1|no_account|12|critical_account|radio_tv|797|unknown|7_more|4|female_div_sep_mar|none|3|life_insurance|33|bank|own|1|unskilled|2|no|yes
0|200_more|24|critical_account|furniture|3617|unknown|7_more|4|male_sin|coapplicant|4|unknown|20|none|rent|2|skilled_employee|1|no|yes
0|0_200|12|existing_paid_duly|new_car|1318|1000_more|7_more|4|male_sin|none|4|real_estate|54|none|own|1|skilled_employee|1|yes|yes
1|0_200|54|no_credits|business|15945|less_100|less_1|3|male_sin|none|4|unknown|58|none|rent|1|skilled_employee|1|yes|yes
0|no_account|12|critical_account|education|2012|unknown|4_7|4|female_div_sep_mar|none|2|car_other|61|none|own|1|skilled_employee|1|no|yes
0|0_200|18|existing_paid_duly|business|2622|100_500|1_4|4|male_sin|none|4|car_other|34|none|own|1|skilled_employee|1|no|yes
0|0_200|36|critical_account|radio_tv|2337|less_100|7_more|4|male_sin|none|4|real_estate|36|none|own|1|skilled_employee|1|no|yes
0|0_200|20|past_delays|used_car|7057|unknown|4_7|3|male_sin|none|4|life_insurance|36|bank|rent|2|management|2|yes|yes
0|no_account|24|existing_paid_duly|new_car|1469|100_500|7_more|4|male_mar_wid|none|4|real_estate|41|none|rent|1|unskilled|1|no|yes
0|0_200|36|existing_paid_duly|radio_tv|2323|less_100|4_7|4|male_sin|none|4|car_other|24|none|rent|1|skilled_employee|1|no|yes
0|no_account|6|past_delays|radio_tv|932|less_100|1_4|3|female_div_sep_mar|none|2|real_estate|24|none|own|1|skilled_employee|1|no|yes
0|0_200|9|critical_account|furniture|1919|less_100|4_7|4|male_sin|none|3|car_other|35|none|rent|1|skilled_employee|1|yes|yes
0|no_account|12|existing_paid_duly|used_car|2445|unknown|less_1|2|male_mar_wid|none|4|car_other|26|none|rent|1|skilled_employee|1|yes|yes
1|0_200|24|critical_account|others|11938|less_100|1_4|2|male_sin|coapplicant|3|car_other|39|none|own|2|management|2|yes|yes
1|no_account|18|past_paid_duly|new_car|6458|less_100|7_more|2|male_sin|none|4|unknown|39|bank|own|2|management|2|yes|yes
0|0_200|12|existing_paid_duly|new_car|6078|less_100|4_7|2|male_sin|none|2|car_other|32|none|own|1|skilled_employee|1|no|yes
0|less_0|24|existing_paid_duly|furniture|7721|unknown|less_1|1|female_div_sep_mar|none|2|life_insurance|30|none|own|1|skilled_employee|1|yes|no
0|0_200|14|existing_paid_duly|business|1410|500_1000|7_more|1|male_mar_wid|none|2|real_estate|35|none|own|1|skilled_employee|1|yes|yes
0|0_200|6|past_delays|business|1449|100_500|7_more|1|male_div_sep|none|2|car_other|31|bank|own|2|skilled_employee|2|no|yes
0|200_more|15|existing_paid_duly|education|392|less_100|less_1|4|female_div_sep_mar|none|4|life_insurance|23|none|rent|1|skilled_employee|1|yes|yes
0|0_200|18|existing_paid_duly|new_car|6260|less_100|4_7|3|male_sin|none|3|real_estate|28|none|rent|1|unskilled|1|no|yes
1|no_account|36|critical_account|new_car|7855|less_100|1_4|4|female_div_sep_mar|none|2|real_estate|25|stores|own|2|skilled_employee|1|yes|yes
0|less_0|12|existing_paid_duly|radio_tv|1680|500_1000|7_more|3|male_mar_wid|none|1|real_estate|35|none|own|1|skilled_employee|1|no|yes
0|no_account|48|critical_account|radio_tv|3578|unknown|7_more|4|male_sin|none|1|real_estate|47|none|own|1|skilled_employee|1|yes|yes
1|less_0|42|existing_paid_duly|radio_tv|7174|unknown|4_7|4|female_div_sep_mar|none|3|car_other|30|none|own|1|management|1|yes|yes
0|less_0|10|critical_account|furniture|2132|unknown|less_1|2|female_div_sep_mar|coapplicant|3|real_estate|27|none|rent|2|skilled_employee|1|no|no
1|less_0|33|critical_account|furniture|4281|500_1000|1_4|1|female_div_sep_mar|none|4|car_other|23|none|own|2|skilled_employee|1|no|yes
0|0_200|12|critical_account|new_car|2366|500_1000|4_7|3|male_div_sep|none|3|car_other|36|none|own|1|management|1|yes|yes
1|less_0|21|existing_paid_duly|radio_tv|1835|less_100|1_4|3|female_div_sep_mar|none|2|real_estate|25|none|own|2|skilled_employee|1|yes|yes
0|no_account|24|critical_account|used_car|3868|less_100|7_more|4|female_div_sep_mar|none|2|car_other|41|none|rent|2|management|1|yes|yes
0|no_account|12|existing_paid_duly|furniture|1768|less_100|1_4|3|male_sin|none|2|real_estate|24|none|rent|1|unskilled|1|no|yes
0|200_more|10|critical_account|new_car|781|less_100|7_more|4|male_sin|none|4|unknown|63|none|for_free|2|skilled_employee|1|yes|yes
1|0_200|18|existing_paid_duly|furniture|1924|unknown|less_1|4|female_div_sep_mar|none|3|real_estate|27|none|rent|1|skilled_employee|1|no|yes
0|less_0|12|critical_account|new_car|2121|less_100|1_4|4|male_sin|none|2|life_insurance|30|none|own|2|skilled_employee|1|no|yes
0|less_0|12|existing_paid_duly|radio_tv|701|less_100|1_4|4|male_mar_wid|none|2|real_estate|40|none|own|1|unskilled|1|no|yes
1|0_200|12|existing_paid_duly|repairs|639|less_100|1_4|4|male_sin|none|2|car_other|30|none|own|1|skilled_employee|1|no|yes
0|0_200|12|critical_account|used_car|1860|less_100|unemployed|4|male_sin|none|2|car_other|34|none|own|2|management|1|yes|yes
1|less_0|12|critical_account|new_car|3499|less_100|1_4|3|female_div_sep_mar|coapplicant|2|real_estate|29|none|own|2|skilled_employee|1|no|yes
0|0_200|48|existing_paid_duly|new_car|8487|unknown|4_7|1|female_div_sep_mar|none|2|car_other|24|none|own|1|skilled_employee|1|no|yes
1|less_0|36|past_delays|education|6887|less_100|1_4|4|male_sin|none|3|life_insurance|29|stores|own|1|skilled_employee|1|yes|yes
0|no_account|15|existing_paid_duly|furniture|2708|less_100|less_1|2|male_sin|none|3|life_insurance|27|bank|own|2|unskilled|1|no|yes
0|no_account|18|existing_paid_duly|furniture|1984|less_100|1_4|4|male_sin|none|4|unknown|47|bank|for_free|2|skilled_employee|1|no|yes
0|no_account|60|existing_paid_duly|radio_tv|10144|100_500|4_7|2|female_div_sep_mar|none|4|real_estate|21|none|own|1|skilled_employee|1|yes|yes
0|no_account|12|critical_account|radio_tv|1240|unknown|7_more|4|female_div_sep_mar|none|2|real_estate|38|none|own|2|skilled_employee|1|yes|yes
0|no_account|27|past_delays|used_car|8613|1000_more|1_4|2|male_sin|none|2|car_other|27|none|own|2|skilled_employee|1|no|yes
1|0_200|12|existing_paid_duly|radio_tv|766|500_1000|1_4|4|male_sin|none|3|real_estate|66|none|own|1|unskilled|1|no|yes
0|0_200|15|critical_account|radio_tv|2728|unknown|4_7|4|male_sin|guarantor|2|real_estate|35|bank|own|3|skilled_employee|1|yes|yes
0|200_more|12|existing_paid_duly|radio_tv|1881|less_100|1_4|2|female_div_sep_mar|none|2|car_other|44|none|rent|1|unskilled|1|yes|yes
0|200_more|6|existing_paid_duly|new_car|709|1000_more|less_1|2|male_mar_wid|none|2|real_estate|27|none|own|1|unemployed|1|no|no
0|0_200|36|existing_paid_duly|radio_tv|4795|less_100|less_1|4|female_div_sep_mar|none|1|unknown|30|none|own|1|management|1|yes|yes
0|less_0|27|existing_paid_duly|radio_tv|3416|less_100|1_4|3|male_sin|none|2|car_other|27|none|own|1|management|1|no|yes
1|less_0|18|existing_paid_duly|furniture|2462|less_100|1_4|2|male_sin|none|2|car_other|22|none|own|1|skilled_employee|1|no|yes
0|no_account|21|critical_account|furniture|2288|less_100|less_1|4|female_div_sep_mar|none|4|life_insurance|23|none|own|1|skilled_employee|1|yes|yes
0|0_200|48|past_paid_duly|business|3566|100_500|4_7|4|male_sin|none|2|car_other|30|none|own|1|skilled_employee|1|no|yes
0|less_0|6|critical_account|new_car|860|less_100|7_more|1|female_div_sep_mar|none|4|unknown|39|none|own|2|skilled_employee|1|yes|yes
0|no_account|12|critical_account|new_car|682|100_500|4_7|4|female_div_sep_mar|none|3|car_other|51|none|own|2|skilled_employee|1|yes|yes
0|less_0|36|critical_account|furniture|5371|less_100|1_4|3|male_sin|guarantor|2|life_insurance|28|none|own|2|skilled_employee|1|no|yes
0|no_account|18|critical_account|radio_tv|1582|1000_more|7_more|4|male_sin|none|4|car_other|46|none|own|2|skilled_employee|1|no|yes
0|no_account|6|existing_paid_duly|radio_tv|1346|100_500|7_more|2|male_sin|none|4|unknown|42|bank|for_free|1|skilled_employee|2|yes|yes
0|no_account|10|existing_paid_duly|radio_tv|1924|less_100|1_4|1|male_sin|none|4|life_insurance|38|none|own|1|skilled_employee|1|yes|no
0|200_more|36|existing_paid_duly|radio_tv|5848|less_100|1_4|4|male_sin|none|1|car_other|24|none|own|1|skilled_employee|1|no|yes
0|0_200|24|critical_account|used_car|7758|1000_more|7_more|2|female_div_sep_mar|none|4|unknown|29|none|rent|1|skilled_employee|1|no|yes
0|0_200|24|past_delays|business|6967|100_500|4_7|4|male_sin|none|4|car_other|36|none|rent|1|management|1|yes|yes
1|less_0|12|existing_paid_duly|furniture|1282|less_100|1_4|2|female_div_sep_mar|none|4|car_other|20|none|rent|1|skilled_employee|1|no|yes
0|less_0|9|critical_account|repairs|1288|100_500|7_more|3|male_sin|guarantor|4|real_estate|48|none|own|2|skilled_employee|2|no|no
0|less_0|12|past_paid_duly|retraining|339|less_100|7_more|4|male_mar_wid|none|1|car_other|45|bank|own|1|unskilled|1|no|yes
0|0_200|24|existing_paid_duly|new_car|3512|100_500|4_7|2|male_sin|none|3|car_other|38|bank|own|2|skilled_employee|1|yes|yes
0|no_account|6|critical_account|radio_tv|1898|unknown|1_4|1|male_sin|none|2|real_estate|34|none|own|2|unskilled|2|no|yes
0|no_account|24|critical_account|radio_tv|2872|100_500|7_more|3|male_sin|none|4|real_estate|36|none|own|1|skilled_employee|2|yes|yes
0|no_account|18|critical_account|new_car|1055|less_100|less_1|4|female_div_sep_mar|none|1|life_insurance|30|none|own|2|skilled_employee|1|no|yes
0|no_account|15|existing_paid_duly|domestic_appliances|1262|500_1000|4_7|4|male_sin|none|3|life_insurance|36|none|own|2|skilled_employee|1|yes|yes
0|0_200|10|existing_paid_duly|new_car|7308|less_100|unemployed|2|male_sin|none|4|unknown|70|bank|for_free|1|management|1|yes|yes
0|no_account|36|existing_paid_duly|new_car|909|500_1000|7_more|4|male_sin|none|4|life_insurance|36|none|own|1|skilled_employee|1|no|yes
0|no_account|6|existing_paid_duly|furniture|2978|500_1000|1_4|1|male_sin|none|2|car_other|32|none|own|1|skilled_employee|1|yes|yes
1|less_0|18|existing_paid_duly|furniture|1131|less_100|unemployed|4|female_div_sep_mar|none|2|car_other|33|none|own|1|skilled_employee|1|no|yes
0|0_200|11|existing_paid_duly|furniture|1577|1000_more|less_1|4|female_div_sep_mar|none|1|real_estate|20|none|own|1|skilled_employee|1|no|yes
0|no_account|24|existing_paid_duly|furniture|3972|less_100|4_7|2|female_div_sep_mar|none|4|life_insurance|25|none|rent|1|skilled_employee|1|yes|yes
1|0_200|24|critical_account|business|1935|less_100|7_more|4|male_div_sep|none|4|real_estate|31|none|own|2|skilled_employee|1|yes|yes
1|less_0|15|no_credits|new_car|950|less_100|7_more|4|male_sin|none|3|car_other|33|none|rent|2|skilled_employee|2|no|yes
0|no_account|12|existing_paid_duly|furniture|763|less_100|1_4|4|female_div_sep_mar|none|1|real_estate|26|none|own|1|skilled_employee|1|yes|yes
1|0_200|24|past_delays|furniture|2064|less_100|unemployed|3|female_div_sep_mar|none|2|life_insurance|34|none|own|1|management|1|yes|yes
0|0_200|8|existing_paid_duly|radio_tv|1414|less_100|1_4|4|male_sin|guarantor|2|real_estate|33|none|own|1|skilled_employee|1|no|no
1|less_0|21|past_delays|education|3414|less_100|less_1|2|male_sin|none|1|life_insurance|26|none|own|2|skilled_employee|1|no|yes
1|no_account|30|past_paid_duly|used_car|7485|unknown|unemployed|4|female_div_sep_mar|none|1|real_estate|53|bank|own|1|management|1|yes|yes
0|less_0|12|existing_paid_duly|furniture|2577|less_100|1_4|2|male_div_sep|none|1|car_other|42|none|own|1|skilled_employee|1|no|yes
0|less_0|6|critical_account|radio_tv|338|500_1000|7_more|4|male_sin|none|4|car_other|52|none|own|2|skilled_employee|1|no|yes
0|no_account|12|existing_paid_duly|radio_tv|1963|less_100|4_7|4|male_sin|none|2|car_other|31|none|rent|2|management|2|yes|yes
0|less_0|21|critical_account|new_car|571|less_100|7_more|4|male_sin|none|4|real_estate|65|none|own|2|skilled_employee|1|no|yes
1|no_account|36|past_delays|business|9572|less_100|less_1|1|male_div_sep|none|1|car_other|28|none|own|2|skilled_employee|1|no|yes
1|0_200|36|past_delays|business|4455|less_100|1_4|2|male_div_sep|none|2|real_estate|30|stores|own|2|management|1|yes|yes
1|less_0|21|past_paid_duly|new_car|1647|unknown|1_4|4|male_sin|none|2|life_insurance|40|none|own|2|unskilled|2|no|yes
0|no_account|24|critical_account|furniture|3777|1000_more|1_4|4|male_sin|none|4|real_estate|50|none|own|1|skilled_employee|1|yes|yes
1|0_200|18|critical_account|new_car|884|less_100|7_more|4|male_sin|none|4|car_other|36|bank|own|1|skilled_employee|2|yes|yes
0|no_account|15|critical_account|radio_tv|1360|less_100|1_4|4|male_sin|none|2|life_insurance|31|none|own|2|skilled_employee|1|no|yes
1|0_200|9|past_paid_duly|used_car|5129|less_100|7_more|2|female_div_sep_mar|none|4|unknown|74|bank|for_free|1|management|2|yes|yes
0|0_200|16|critical_account|new_car|1175|less_100|unemployed|2|male_sin|none|3|car_other|68|none|for_free|3|unemployed|1|yes|yes
1|less_0|12|existing_paid_duly|radio_tv|674|100_500|4_7|4|male_mar_wid|none|1|life_insurance|20|none|own|1|skilled_employee|1|no|yes
0|0_200|18|no_credits|furniture|3244|less_100|1_4|1|female_div_sep_mar|none|4|car_other|33|bank|own|2|skilled_employee|1|yes|yes
1|no_account|24|existing_paid_duly|business|4591|1000_more|1_4|2|male_sin|none|3|life_insurance|54|none|own|3|management|1|yes|yes
1|0_200|48|no_credits|business|3844|100_500|4_7|4|male_sin|none|4|unknown|34|none|for_free|1|unskilled|2|no|yes
1|0_200|27|existing_paid_duly|business|3915|less_100|1_4|4|male_sin|none|2|car_other|36|none|own|1|skilled_employee|2|yes|yes
0|no_account|6|existing_paid_duly|radio_tv|2108|less_100|4_7|2|male_mar_wid|none|2|real_estate|29|none|rent|1|skilled_employee|1|no|yes
1|0_200|45|existing_paid_duly|radio_tv|3031|100_500|1_4|4|male_sin|guarantor|4|life_insurance|21|none|rent|1|skilled_employee|1|no|yes
1|0_200|9|critical_account|education|1501|less_100|7_more|2|female_div_sep_mar|none|3|car_other|34|none|own|2|management|1|yes|yes
